CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
570192;RH416 Red Hat Security: Linux in Physical, Virtual, and Cloud with exam;23.3.2020;27.3.2020;Pasila;Kirja tai muu tuloste;Manage security of Red Hat Enterprise Linux systems deployed in bare-metal, virtual, and cloud environments;True;Technology;Infra;Red Hat;
570191;RH415 Red Hat Security: Linux in Physical, Virtual, and Cloud;23.3.2020;26.3.2020;Pasila;Kirja tai muu tuloste;Manage security of Red Hat Enterprise Linux systems deployed in bare-metal, virtual, and cloud environments;True;Technology;Infra;Red Hat;
569946;AZ-301 Azure Solutions Architect Design ;18.11.2019;20.11.2019;Pasila;;Opi suunnittelemaan Azure-ympäristö ja sen arkkitehtuuri. Tämä kurssi tarjoaa syventävää osaamista erityisesti sovellusarkkitehdeille.;True;Technology;Infra;Microsoft Cloud-services;
569947;AZ-301 Azure Solutions Architect Design ;18.11.2019;20.11.2019;Online;;Opi suunnittelemaan Azure-ympäristö ja sen arkkitehtuuri. Tämä kurssi tarjoaa syventävää osaamista erityisesti sovellusarkkitehdeille.;True;Technology;Infra;Microsoft Cloud-services;
570072;AZ-301 Azure Solutions Architect Design ;20.1.2020;22.1.2020;Pasila;;Opi suunnittelemaan Azure-ympäristö ja sen arkkitehtuuri. Tämä kurssi tarjoaa syventävää osaamista erityisesti sovellusarkkitehdeille.;True;Technology;Infra;Microsoft Cloud-services;
570073;AZ-301 Azure Solutions Architect Design ;20.1.2020;22.1.2020;Online;;Opi suunnittelemaan Azure-ympäristö ja sen arkkitehtuuri. Tämä kurssi tarjoaa syventävää osaamista erityisesti sovellusarkkitehdeille.;True;Technology;Infra;Microsoft Cloud-services;
570089;AZ-301 Azure Solutions Architect Design ;10.3.2020;12.3.2020;Pasila;;Opi suunnittelemaan Azure-ympäristö ja sen arkkitehtuuri. Tämä kurssi tarjoaa syventävää osaamista erityisesti sovellusarkkitehdeille.;True;Technology;Infra;Microsoft Cloud-services;
570090;AZ-301 Azure Solutions Architect Design ;10.3.2020;12.3.2020;Online;;Opi suunnittelemaan Azure-ympäristö ja sen arkkitehtuuri. Tämä kurssi tarjoaa syventävää osaamista erityisesti sovellusarkkitehdeille.;True;Technology;Infra;Microsoft Cloud-services;
569945;AZ-300 Azure Architect Technologies;28.10.2019;31.10.2019;Pasila;;Sovellusarkkitehti ja IT-osaaja, joka haluat syventää Azure-osaamistasi. Tämä kurssi on laaja katsaus kaikkeen siihen, mitä Microsoft Azure tarjoaa - niin sovellusten arkkitehtuurin, identiteetin hallinnan kuin Azure-järjestelmien hallinnankin kannalta.;True;Technology;Infra;Microsoft Cloud-services;
569948;AZ-300 Azure Architect Technologies;28.10.2019;31.10.2019;Online;;Sovellusarkkitehti ja IT-osaaja, joka haluat syventää Azure-osaamistasi. Tämä kurssi on laaja katsaus kaikkeen siihen, mitä Microsoft Azure tarjoaa - niin sovellusten arkkitehtuurin, identiteetin hallinnan kuin Azure-järjestelmien hallinnankin kannalta.;True;Technology;Infra;Microsoft Cloud-services;
